

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
054.351  000.009  000.009: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
074.774  007.930  007.930: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/extras/filetype.vim
077.965  028.886  019.617: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
097.646  000.220  000.220: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
098.907  000.171  000.171: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
111.977  015.226  014.835: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
113.501  000.383  000.383: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
115.791  000.352  000.352: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
127.383  015.098  014.364: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
177.145  000.776  000.776: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-repeat/autoload/repeat.vim
177.366  001.231  000.455: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/macros/sandwich/keymap/surround.vim
177.927  000.120  000.120: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/nvim-tree.lua/plugin/tree.vim
178.713  000.185  000.185: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vimux/plugin/vimux.vim
179.369  000.261  000.261: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-tmux-navigator/plugin/tmux_navigator.vim
179.857  133.614  070.854: sourcing /home/brian/.config/nvim/plugin/packer_compiled.vim
179.971  000.094  000.094: sourcing /home/brian/.config/nvim/plugin/settings.vim
180.520  000.273  000.273: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
180.553  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/health.vim
180.701  000.134  000.134: sourcing /usr/share/nvim/runtime/plugin/man.vim
181.645  000.298  000.298: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
181.717  000.996  000.699: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
181.893  000.160  000.160: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
181.930  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
182.109  000.011  000.011: sourcing /home/brian/.local/share/nvim/rplugin.vim
182.122  000.177  000.165: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
182.308  000.172  000.172: sourcing /usr/share/nvim/runtime/plugin/shada.vim
182.360  000.027  000.027: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
182.599  000.219  000.219: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
182.720  000.096  000.096: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
182.764  000.023  000.023: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
183.044  000.255  000.255: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
183.881  000.747  000.747: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
183.904  006.455: loading plugins
184.633  000.025  000.025: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/BetterLua.vim/plugin/BetterLua.vim
184.749  000.018  000.018: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/aniseed/plugin/aniseed.vim
185.276  000.445  000.445: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
185.719  000.049  000.049: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/autoload/nvim_treesitter.vim
187.110  000.061  000.061: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/barbar.nvim/autoload/bufferline.vim
187.907  000.058  000.058: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/barbar.nvim/autoload/bufferline/highlight.vim
