

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
083.479  000.134  000.134: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
084.045  000.114  000.114: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
091.849  008.977  008.729: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
092.815  000.242  000.242: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
094.129  000.245  000.245: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
100.868  008.850  008.364: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
140.760  000.582  000.582: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-repeat/autoload/repeat.vim
140.891  000.859  000.276: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/macros/sandwich/keymap/surround.vim
142.072  000.088  000.088: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/nvim-tree.lua/plugin/tree.vim
143.493  000.222  000.222: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-tmux-navigator/plugin/tmux_navigator.vim
144.459  000.133  000.133: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vimux/plugin/vimux.vim
145.441  097.957  060.423: sourcing /home/brian/.config/nvim/plugin/packer_compiled.vim
145.549  000.094  000.094: sourcing /home/brian/.config/nvim/plugin/settings.vim
146.060  000.210  000.210: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
146.079  000.007  000.007: sourcing /usr/share/nvim/runtime/plugin/health.vim
146.197  000.111  000.111: sourcing /usr/share/nvim/runtime/plugin/man.vim
147.427  000.189  000.189: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
147.464  001.258  001.069: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
147.593  000.119  000.119: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
147.614  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
147.725  000.007  000.007: sourcing /home/brian/.local/share/nvim/rplugin.vim
147.729  000.108  000.100: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
147.906  000.150  000.150: sourcing /usr/share/nvim/runtime/plugin/shada.vim
147.934  000.017  000.017: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
148.117  000.174  000.174: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
148.199  000.067  000.067: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
148.222  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
148.415  000.185  000.185: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
148.997  000.520  000.520: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
149.509  000.493  000.493: sourcing /usr/share/vim/vimfiles/plugin/skim.vim
149.528  020.541: loading plugins
149.970  000.017  000.017: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/BetterLua.vim/plugin/BetterLua.vim
150.027  000.011  000.011: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/aniseed/plugin/aniseed.vim
150.430  000.359  000.359: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
150.726  000.204  000.204: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-nvim/plugin/completion.vim
162.047  011.267  011.267: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-treesitter/plugin/completion-treesitter.vim
162.239  000.107  000.107: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/diagnostic-nvim/plugin/diagnostic.vim
162.485  000.192  000.192: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/express_line.nvim/plugin/express_line.vim
162.940  000.410  000.410: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/plugin/firenvim.vim
163.022  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf/plugin/fzf.vim
163.954  000.890  000.890: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf.vim/plugin/fzf.vim
164.221  000.165  000.165: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/iron.nvim/plugin/iron.vim
164.280  000.009  000.009: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
164.375  000.028  000.028: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
164.465  000.046  000.046: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/nvim_lsp.vim
164.552  000.036  000.036: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lsputils/plugin/nvim-lsputils.vim
165.602  001.005  001.005: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
165.788  000.146  000.146: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
167.143  000.024  000.024: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/autoload/nvim_treesitter.vim
167.430  001.593  001.569: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
168.012  000.521  000.521: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
168.730  000.659  000.659: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
168.825  000.031  000.031: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
168.878  000.003  000.003: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pandoc.nvim/plugin/pandoc.vim
168.925  000.008  000.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
170.884  001.925  001.925: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
170.976  000.030  000.030: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/popfix/plugin/popfix.vim
