

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
041.037  000.013  000.013: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
041.068  000.017  000.017: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
041.092  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
041.120  000.016  000.016: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
041.143  000.009  000.009: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
060.302  007.275  007.275: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/extras/filetype.vim
063.126  026.300  017.960: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
078.288  000.208  000.208: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
079.437  000.185  000.185: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
091.554  014.095  013.701: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
093.002  000.387  000.387: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
095.413  000.329  000.329: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
107.282  015.493  014.776: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
151.809  000.540  000.540: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-repeat/autoload/repeat.vim
152.000  000.937  000.397: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/macros/sandwich/keymap/surround.vim
152.494  000.117  000.117: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/nvim-tree.lua/plugin/tree.vim
153.204  000.054  000.054: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/autoload/bufferline.vim
153.470  000.065  000.065: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/autoload/bufferline/highlight.vim
155.578  002.518  002.399: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/plugin/bufferline.vim
156.100  000.192  000.192: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vimux/plugin/vimux.vim
156.748  000.275  000.275: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-tmux-navigator/plugin/tmux_navigator.vim
157.275  121.722  061.583: sourcing /home/brian/.config/nvim/plugin/packer_compiled.vim
158.041  000.747  000.747: sourcing /home/brian/.config/nvim/plugin/settings.vim
158.339  000.017  000.017: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
158.363  000.011  000.011: sourcing /usr/share/nvim/runtime/plugin/health.vim
158.506  000.131  000.131: sourcing /usr/share/nvim/runtime/plugin/man.vim
158.534  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
158.570  000.018  000.018: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
158.608  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
159.128  000.507  000.507: sourcing /usr/share/nvim/runtime/plugin/nvim_gui_shim.vim
159.314  000.011  000.011: sourcing /home/brian/.local/share/nvim/rplugin.vim
159.321  000.173  000.162: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
