

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
032.619  000.016  000.016: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
032.641  000.010  000.010: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
032.661  000.008  000.008: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
049.901  006.719  006.719: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/extras/filetype.vim
052.358  023.617  015.931: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-polyglot/ftdetect/polyglot.vim
067.574  000.189  000.189: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
068.706  000.153  000.153: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
079.764  012.978  012.637: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
081.213  000.395  000.395: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
083.684  000.335  000.335: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
094.643  014.669  013.940: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
132.526  000.665  000.665: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-repeat/autoload/repeat.vim
132.698  001.025  000.360: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/vim-sandwich/macros/sandwich/keymap/surround.vim
142.892  000.014  000.014: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/autoload/bufferline.vim
143.347  000.054  000.054: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/autoload/bufferline/highlight.vim
145.681  002.886  002.818: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/barbar.nvim/plugin/bufferline.vim
146.095  000.100  000.100: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/nvim-tree.lua/plugin/tree.vim
147.034  000.419  000.419: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vim-tmux-navigator/plugin/tmux_navigator.vim
147.491  000.145  000.145: sourcing /home/brian/.local/share/nvim/site/pack/packer/opt/vimux/plugin/vimux.vim
147.968  121.052  064.331: sourcing /home/brian/.config/nvim/plugin/packer_compiled.vim
148.691  000.704  000.704: sourcing /home/brian/.config/nvim/plugin/settings.vim
148.990  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
149.013  000.010  000.010: sourcing /usr/share/nvim/runtime/plugin/health.vim
149.151  000.127  000.127: sourcing /usr/share/nvim/runtime/plugin/man.vim
149.906  000.252  000.252: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
149.949  000.785  000.532: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
150.110  000.148  000.148: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
150.148  000.019  000.019: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
150.638  000.477  000.477: sourcing /usr/share/nvim/runtime/plugin/nvim_gui_shim.vim
150.803  000.011  000.011: sourcing /home/brian/.local/share/nvim/rplugin.vim
150.810  000.154  000.143: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
150.984  000.164  000.164: sourcing /usr/share/nvim/runtime/plugin/shada.vim
151.035  000.027  000.027: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
151.070  000.018  000.018: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
151.097  000.011  000.011: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
151.134  000.019  000.019: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
151.168  000.019  000.019: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
151.920  000.675  000.675: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
152.621  000.677  000.677: sourcing /usr/share/vim/vimfiles/plugin/skim.vim
152.626  005.326: loading plugins
153.183  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/aniseed/plugin/aniseed.vim
153.773  000.516  000.516: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
154.206  000.289  000.289: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-nvim/plugin/completion.vim
161.575  007.285  007.285: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/completion-treesitter/plugin/completion-treesitter.vim
161.935  000.277  000.277: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/firenvim/plugin/firenvim.vim
162.028  000.020  000.020: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf/plugin/fzf.vim
163.064  000.970  000.970: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/fzf.vim/plugin/fzf.vim
163.335  000.185  000.185: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/galaxyline.nvim/plugin/galaxyline.vim
163.823  000.019  000.019: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/autoload/indent_blankline/helper.vim
165.720  002.252  002.233: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
165.850  000.015  000.015: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/lalrpop.vim/ftdetect/lalrpop.vim
167.008  001.074  001.074: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nlua.nvim/plugin/nlua.vim
167.124  000.036  000.036: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
167.250  000.056  000.056: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
167.380  000.054  000.054: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-lsputils/plugin/nvim-lsputils.vim
169.071  001.622  001.622: sourcing /home/brian/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
